ARG_Name,MGE_Name,PatientCount,Label
ARIR,gene:proph:172520,3,PreFMT Only
ARIR,gene:proph:172521,3,PreFMT Only
ARIR,gene:proph:172522,2,PreFMT Only
ARIR,gene:proph:172523,3,PreFMT Only
ARIR,gene:proph:172524,2,PreFMT Only
ARIR,gene:proph:176798,1,PreFMT Only
ARIR,gene:proph:179433,1,PreFMT Only
ARIR,gene:proph:183636,1,PreFMT Only
ARIR,gene:proph:183637,1,PreFMT Only
ARIR,gene:vir:105410,1,PreFMT Only
ARNT,gene:plasmid:85992,1,PreFMT Only
ARNT,gene:plasmid:86276,3,PreFMT Only
ARR,gene:plasmid:139639,1,PreFMT Only
ARR,gene:plasmid:149101,1,PreFMT Only
ARSA,gene:plasmid:16011,1,PreFMT Only
ARSA,gene:plasmid:88467,3,PreFMT Only
ARSA,gene:plasmid:88468,5,PreFMT Only
ARSB,gene:plasmid:88409,1,PreFMT Only
ARSB,gene:plasmid:88437,1,PreFMT Only
ARSB,gene:plasmid:91925,1,PreFMT Only
ARSB,gene:plasmid:91947,1,PreFMT Only
ARSB,gene:plasmid:91985,2,PreFMT Only
ARSB,gene:proph:161537,1,PreFMT Only
ARSB,gene:proph:169464,1,PreFMT Only
ARSB,gene:proph:169511,1,PreFMT Only
ARSB,gene:proph:172517,1,PreFMT Only
ARSBM,gene:plasmid:118383,6,PreFMT Only
ARSBM,gene:plasmid:124927,1,PreFMT Only
ARSBM,gene:plasmid:124929,1,PreFMT Only
ARSBM,gene:plasmid:138733,1,PreFMT Only
ARSBM,gene:plasmid:85089,1,PreFMT Only
ARSBM,gene:proph:184639,1,PreFMT Only
ARSCM,gene:plasmid:156104,1,PreFMT Only
ARSCM,gene:plasmid:16011,1,PreFMT Only
ARSCM,gene:plasmid:16991,1,PreFMT Only
ARSCM,gene:plasmid:24696,1,PreFMT Only
ARSCM,gene:plasmid:24697,1,PreFMT Only
ARSCM,gene:plasmid:24698,2,PreFMT Only
ARSCM,gene:plasmid:24699,1,PreFMT Only
ARSCM,gene:plasmid:77695,1,PreFMT Only
ARSCM,gene:plasmid:88431,1,PreFMT Only
ARSCM,gene:plasmid:88432,1,PreFMT Only
ARSCM,gene:plasmid:88433,1,PreFMT Only
ARSCM,gene:plasmid:93448,1,PreFMT Only
ARSDM,gene:plasmid:123175,1,PreFMT Only
ARSDM,gene:plasmid:88467,1,PreFMT Only
ARSP,gene:plasmid:14189,1,PreFMT Only
ARSRM,gene:plasmid:117671,1,PreFMT Only
ARSRM,gene:plasmid:117686,1,PreFMT Only
ARSRM,gene:plasmid:117692,1,PreFMT Only
ARSRM,gene:plasmid:117701,1,PreFMT Only
ARSRM,gene:plasmid:117744,1,PreFMT Only
ARSRM,gene:plasmid:117746,1,PreFMT Only
ARSRM,gene:plasmid:127984,1,PreFMT Only
ARSRM,gene:plasmid:128681,1,PreFMT Only
ARSRM,gene:plasmid:128691,1,PreFMT Only
ARSRM,gene:plasmid:128696,1,PreFMT Only
ARSRM,gene:plasmid:128697,1,PreFMT Only
ARSRM,gene:plasmid:128700,1,PreFMT Only
ARSRM,gene:plasmid:128701,1,PreFMT Only
ARSRM,gene:plasmid:128702,1,PreFMT Only
ARSRM,gene:plasmid:142025,3,PreFMT Only
ARSRM,gene:plasmid:142078,1,PreFMT Only
ARSRM,gene:plasmid:14227,1,PreFMT Only
ARSRM,gene:plasmid:14228,1,PreFMT Only
ARSRM,gene:plasmid:14232,1,PreFMT Only
ARSRM,gene:plasmid:14238,1,PreFMT Only
ARSRM,gene:plasmid:14240,1,PreFMT Only
ARSRM,gene:plasmid:14241,1,PreFMT Only
ARSRM,gene:plasmid:14242,1,PreFMT Only
ARSRM,gene:plasmid:14243,1,PreFMT Only
ARSRM,gene:plasmid:14246,1,PreFMT Only
ARSRM,gene:plasmid:14247,1,PreFMT Only
ARSRM,gene:plasmid:14250,1,PreFMT Only
ARSRM,gene:plasmid:14252,1,PreFMT Only
ARSRM,gene:plasmid:14254,1,PreFMT Only
ARSRM,gene:plasmid:14257,1,PreFMT Only
ARSRM,gene:plasmid:14258,1,PreFMT Only
ARSRM,gene:plasmid:14259,1,PreFMT Only
ARSRM,gene:plasmid:148150,1,PreFMT Only
ARSRM,gene:plasmid:149101,1,PreFMT Only
ARSRM,gene:plasmid:151658,1,PreFMT Only
ARSRM,gene:plasmid:155943,1,PreFMT Only
ARSRM,gene:plasmid:155952,1,PreFMT Only
ARSRM,gene:plasmid:155964,3,PreFMT Only
ARSRM,gene:plasmid:155972,1,PreFMT Only
ARSRM,gene:plasmid:156035,2,PreFMT Only
ARSRM,gene:plasmid:156084,2,PreFMT Only
ARSRM,gene:plasmid:156088,1,PreFMT Only
ARSRM,gene:plasmid:156110,2,PreFMT Only
ARSRM,gene:plasmid:156119,1,PreFMT Only
ARSRM,gene:plasmid:156128,1,PreFMT Only
ARSRM,gene:plasmid:156134,1,PreFMT Only
ARSRM,gene:plasmid:156145,1,PreFMT Only
ARSRM,gene:plasmid:156176,2,PreFMT Only
ARSRM,gene:plasmid:15811,1,PreFMT Only
ARSRM,gene:plasmid:16003,1,PreFMT Only
ARSRM,gene:plasmid:16011,2,PreFMT Only
ARSRM,gene:plasmid:16991,1,PreFMT Only
ARSRM,gene:plasmid:24698,1,PreFMT Only
ARSRM,gene:plasmid:24699,1,PreFMT Only
ARSRM,gene:plasmid:24852,1,PreFMT Only
ARSRM,gene:plasmid:30991,1,PreFMT Only
ARSRM,gene:plasmid:88298,2,PreFMT Only
ARSRM,gene:plasmid:88299,2,PreFMT Only
ARSRM,gene:plasmid:88300,1,PreFMT Only
ARSRM,gene:plasmid:88301,1,PreFMT Only
ARSRM,gene:plasmid:88325,1,PreFMT Only
ARSRM,gene:plasmid:88328,3,PreFMT Only
ARSRM,gene:plasmid:88329,3,PreFMT Only
ARSRM,gene:plasmid:88330,2,PreFMT Only
ARSRM,gene:plasmid:88331,3,PreFMT Only
ARSRM,gene:plasmid:88332,1,PreFMT Only
ARSRM,gene:plasmid:88333,1,PreFMT Only
ARSRM,gene:plasmid:88334,3,PreFMT Only
ARSRM,gene:plasmid:88336,1,PreFMT Only
ARSRM,gene:plasmid:88337,1,PreFMT Only
ARSRM,gene:plasmid:88338,1,PreFMT Only
ARSRM,gene:plasmid:88443,1,PreFMT Only
ARSRM,gene:plasmid:88445,1,PreFMT Only
ARSRM,gene:plasmid:88446,1,PreFMT Only
ARSRM,gene:plasmid:88447,1,PreFMT Only
ARSRM,gene:plasmid:88448,1,PreFMT Only
ARSRM,gene:plasmid:88449,1,PreFMT Only
ARSRM,gene:plasmid:88450,1,PreFMT Only
ARSRM,gene:plasmid:88451,1,PreFMT Only
ARSRM,gene:plasmid:88452,1,PreFMT Only
ARSRM,gene:plasmid:88455,1,PreFMT Only
ARSRM,gene:plasmid:88456,1,PreFMT Only
ARSRM,gene:plasmid:88457,1,PreFMT Only
ARSRM,gene:plasmid:88458,3,PreFMT Only
ARSRM,gene:plasmid:88459,3,PreFMT Only
ARSRM,gene:plasmid:88460,2,PreFMT Only
ARSRM,gene:plasmid:88461,2,PreFMT Only
ARSRM,gene:plasmid:88462,3,PreFMT Only
ARSRM,gene:plasmid:88463,3,PreFMT Only
ARSRM,gene:plasmid:88464,4,PreFMT Only
ARSRM,gene:plasmid:88465,2,PreFMT Only
ARSRM,gene:plasmid:88466,2,PreFMT Only
ARSRM,gene:plasmid:88468,12,PreFMT Only
ARSRM,gene:plasmid:88472,4,PreFMT Only
ARSRM,gene:plasmid:88473,3,PreFMT Only
ARSRM,gene:plasmid:88474,2,PreFMT Only
ARSRM,gene:plasmid:88475,1,PreFMT Only
ARSRM,gene:plasmid:88476,1,PreFMT Only
ARSRM,gene:plasmid:88624,1,PreFMT Only
ARSRM,gene:plasmid:91950,1,PreFMT Only
ARSRM,gene:plasmid:91974,1,PreFMT Only
ARSRM,gene:plasmid:91989,1,PreFMT Only
ARSRM,gene:plasmid:92011,1,PreFMT Only
ARSRM,gene:proph:163834,1,PreFMT Only
ARSRM,gene:proph:169103,1,PreFMT Only
ARSRM,gene:proph:183000,1,PreFMT Only
ASMA,gene:plasmid:112498,1,PreFMT Only
ASMA,gene:plasmid:117753,1,PreFMT Only
ASMA,gene:plasmid:123300,1,PreFMT Only
