COPA,gene:proph:179486,55,Donor & PostFMT Only
COPA,gene:proph:181087,55,Donor & PostFMT Only
COPA,gene:proph:181113,55,Donor & PostFMT Only
COPA,gene:vir:4533,55,Donor & PostFMT Only
COPA,gene:vir:4534,55,Donor & PostFMT Only
COPA,gene:vir:4536,55,Donor & PostFMT Only
COPA,gene:vir:4537,55,Donor & PostFMT Only
COPA,gene:vir:4547,55,Donor & PostFMT Only
CORA,gene:plasmid:24561,55,Donor & PostFMT Only
DNAK,gene:plasmid:158140,55,Donor & PostFMT Only
DSBC,gene:plasmid:123177,55,Donor & PostFMT Only
DSBC,gene:plasmid:151300,55,Donor & PostFMT Only
EMRD,gene:proph:179438,55,Donor & PostFMT Only
FECD,gene:plasmid:114202,55,Donor & PostFMT Only
FECD,gene:plasmid:142025,55,Donor & PostFMT Only
TETA,gene:plasmid:121923,55,Donor & PostFMT Only
TETA,gene:plasmid:123352,55,Donor & PostFMT Only
TETA,gene:plasmid:123353,55,Donor & PostFMT Only
TETA,gene:plasmid:123355,55,Donor & PostFMT Only
TETA,gene:plasmid:84615,55,Donor & PostFMT Only
YDEI,gene:proph:159061,55,Donor & PostFMT Only
YDEI,gene:proph:163928,55,Donor & PostFMT Only
YDEI,gene:proph:163940,55,Donor & PostFMT Only
YDEI,gene:proph:172451,55,Donor & PostFMT Only
YDEI,gene:proph:177577,55,Donor & PostFMT Only
YDEI,gene:proph:182930,55,Donor & PostFMT Only
CORA,gene:plasmid:24561,56,Donor & PostFMT Only
DNAK,gene:plasmid:158140,56,Donor & PostFMT Only
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,ICE,4,Donor & PostFMT Only
ERMF,gene:plasmid:141421,plasmid,5,Donor & PostFMT Only
AAC3,gene:plasmid:14303,plasmid,8,Donor & PostFMT Only
AAC3,gene:plasmid:14304,plasmid,8,Donor & PostFMT Only
AAC3,gene:plasmid:158830,plasmid,8,Donor & PostFMT Only
CORA,gene:plasmid:24561,plasmid,8,Donor & PostFMT Only
FECD,gene:plasmid:156052,plasmid,8,Donor & PostFMT Only
