ARG_ID,MGE_ID,Donor,Pre,Post,PatientCount
CHAA,gene:vir:108544,0,0,1,1
CHAA,gene:vir:1915,0,0,1,1
CHAA,gene:vir:95339,0,0,1,1
COMR,gene:vir:104372,0,1,0,1
COMR,gene:vir:104416,0,1,0,1
COMR,gene:vir:104422,0,0,1,1
COMR,gene:vir:108417,0,1,0,1
COMR,gene:vir:108421,0,1,0,1
COMR,gene:vir:108544,0,0,1,1
COMR,gene:vir:108716,0,0,1,1
COMR,gene:vir:2884,0,0,1,1
COMR,gene:vir:3271,0,0,1,1
COMR,gene:vir:3472,0,0,1,1
COMR,gene:vir:8777,0,1,0,1
COPA,gene:vir:108544,1,0,0,1
COPA,gene:vir:108727,0,0,1,1
COPA,gene:vir:108728,0,0,1,1
COPA,gene:vir:166,0,0,1,1
COPA,gene:vir:167,0,0,1,1
COPA,gene:vir:4533,0,0,1,1
COPA,gene:vir:4533,1,0,0,1
COPA,gene:vir:4533,1,0,1,1
COPA,gene:vir:4534,1,0,1,1
COPA,gene:vir:4536,1,0,1,1
COPA,gene:vir:4537,1,0,1,1
COPA,gene:vir:4546,1,0,0,1
COPA,gene:vir:4547,1,0,1,1
CORA,gene:vir:101323,0,0,1,1
CORA,gene:vir:101325,0,0,1,1
CORA,gene:vir:101326,0,0,1,1
CORA,gene:vir:101327,0,0,1,1
CORA,gene:vir:101333,0,0,1,1
CORA,gene:vir:101336,0,0,1,1
CORA,gene:vir:101337,0,0,1,1
CORA,gene:vir:101338,0,0,1,1
CORA,gene:vir:101339,0,0,1,1
CORA,gene:vir:101358,0,0,1,1
CORA,gene:vir:101359,0,0,1,1
CORA,gene:vir:101366,0,0,1,1
CORA,gene:vir:101367,0,0,1,1
CORA,gene:vir:101368,0,0,1,1
CORA,gene:vir:101369,0,0,1,1
CORA,gene:vir:101370,0,0,1,1
CORA,gene:vir:101372,0,0,1,1
CORA,gene:vir:101382,0,0,1,1
CORA,gene:vir:101385,0,0,1,1
CORA,gene:vir:101387,0,0,1,1
CORA,gene:vir:101388,0,0,1,1
CORA,gene:vir:101393,0,0,1,1
CORA,gene:vir:101394,0,0,1,1
CORA,gene:vir:101397,0,0,1,1
CORA,gene:vir:101398,0,0,1,1
CORA,gene:vir:101399,0,0,1,1
CORA,gene:vir:101404,0,0,1,1
CORA,gene:vir:101410,0,0,1,1
CORA,gene:vir:101413,0,0,1,1
CORA,gene:vir:101419,0,0,1,1
CORA,gene:vir:101420,0,0,1,1
CORA,gene:vir:101424,0,0,1,1
CORA,gene:vir:101427,0,0,1,1
CORA,gene:vir:101428,0,0,1,1
CPXAR,gene:vir:2046,0,1,0,1
CPXAR,gene:vir:2048,0,1,0,1
CPXAR,gene:vir:2049,0,1,0,1
CPXAR,gene:vir:2050,0,1,0,2
CPXAR,gene:vir:2051,0,1,0,1
CPXAR,gene:vir:5719,0,1,0,3
CPXAR,gene:vir:5720,0,1,0,1
CPXAR,gene:vir:5721,0,1,0,1
CPXAR,gene:vir:5723,0,1,0,1
CPXAR,gene:vir:5725,0,1,0,1
CPXAR,gene:vir:5727,0,1,0,1
CPXAR,gene:vir:6058,0,1,0,1
CPXAR,gene:vir:6059,0,1,0,1
CPXAR,gene:vir:6060,0,1,0,1
CPXAR,gene:vir:6088,0,1,0,1
CRP,gene:vir:1321,0,0,1,2
CTX,gene:vir:108727,0,1,0,1
CTX,gene:vir:108728,0,1,0,1
CTX,gene:vir:166,0,0,1,1
CTX,gene:vir:2046,0,0,1,1
CTX,gene:vir:2047,0,0,1,1
CTX,gene:vir:2050,0,0,1,1
CTX,gene:vir:2051,0,0,1,1
CTX,gene:vir:5718,0,0,1,1
CUER,gene:vir:4533,0,0,1,1
CUER,gene:vir:4534,0,0,1,1
CUER,gene:vir:4535,0,0,1,1
CUER,gene:vir:4536,0,0,1,1
CUSA,gene:vir:507,0,1,0,1
CUTA,gene:vir:4454,0,0,1,1
CUTA,gene:vir:4507,0,0,1,1
CUTA,gene:vir:4515,0,0,1,1
CUTA,gene:vir:4516,0,0,1,1
CUTA,gene:vir:4518,0,0,1,1
CUTA,gene:vir:4523,0,0,1,1
