ARG_ID,MGE_ID,Donor,Pre,Post,PatientCount
CUTC,gene:plasmid:15811,0,1,0,1
CUTC,gene:plasmid:88444,0,1,0,1
DFRA,gene:plasmid:82857,0,0,1,1
DFRF,gene:plasmid:14955,0,1,0,1
DSBC,gene:plasmid:114080,0,0,1,1
DSBC,gene:plasmid:114251,0,0,1,1
DSBC,gene:plasmid:114252,0,0,1,1
DSBC,gene:plasmid:117445,0,0,1,1
DSBC,gene:plasmid:121422,0,0,1,1
DSBC,gene:plasmid:123177,1,0,1,1
DSBC,gene:plasmid:142025,0,1,0,1
DSBC,gene:plasmid:142103,0,1,0,1
DSBC,gene:plasmid:148202,0,0,1,1
DSBC,gene:plasmid:151300,0,0,1,1
DSBC,gene:plasmid:151300,1,0,1,1
DSBC,gene:plasmid:151309,0,0,1,1
DSBC,gene:plasmid:84614,0,0,1,1
DSBC,gene:plasmid:84622,0,0,1,1
EMMDR,gene:plasmid:119712,0,0,1,1
EMMDR,gene:plasmid:157743,0,1,0,1
EMRR,gene:plasmid:84614,0,0,1,1
EMRR,gene:plasmid:84614,0,1,0,1
EMRR,gene:plasmid:84622,0,0,1,1
EMRR,gene:plasmid:84622,0,1,0,1
EMRR,gene:proph:163976,0,1,0,1
EMRR,gene:proph:163976,1,0,0,1
ERMB,gene:plasmid:15632,0,0,1,1
ERMB,gene:plasmid:15665,0,0,1,1
ERMX,gene:plasmid:14929,1,0,0,2
ERMX,gene:plasmid:14929,1,0,1,1
ERMX,gene:plasmid:14930,0,0,1,1
ERMX,gene:plasmid:14930,1,0,1,3
ERMX,gene:plasmid:14955,0,0,1,3
ERMX,gene:plasmid:14955,1,0,0,1
EVGA,gene:plasmid:88410,0,1,0,1
FECD,gene:plasmid:114192,0,0,1,1
FECD,gene:plasmid:114202,1,0,1,1
FECD,gene:plasmid:117481,0,0,1,1
FECD,gene:plasmid:117483,0,0,1,1
FECD,gene:plasmid:121458,0,0,1,1
FECD,gene:plasmid:121879,0,0,1,1
FECD,gene:plasmid:121888,0,1,0,3
FECD,gene:plasmid:123343,0,1,0,1
FECD,gene:plasmid:141976,0,0,1,1
FECD,gene:plasmid:142013,0,0,1,3
FECD,gene:plasmid:142025,0,0,1,3
FECD,gene:plasmid:142025,1,0,0,1
FECD,gene:plasmid:142025,1,0,1,1
FECD,gene:plasmid:142074,0,0,1,1
FECD,gene:plasmid:142074,0,1,0,1
FECD,gene:plasmid:151266,0,0,1,1
FECD,gene:plasmid:155994,0,1,0,1
FECD,gene:plasmid:156066,0,1,0,1
FECD,gene:plasmid:156082,0,1,0,1
FECD,gene:plasmid:156832,0,1,0,3
FECD,gene:plasmid:15993,0,1,0,1
FECD,gene:plasmid:15994,0,1,0,2
FECD,gene:plasmid:24510,0,0,1,1
FECD,gene:plasmid:25296,0,0,1,2
FECD,gene:plasmid:25357,1,0,0,1
FECD,gene:plasmid:25392,0,0,1,1
FECD,gene:plasmid:25689,0,0,1,4
FECD,gene:plasmid:25689,0,1,0,3
FECD,gene:plasmid:30743,0,1,0,1
FECD,gene:plasmid:88420,0,1,0,1
FECD,gene:plasmid:88454,0,1,0,1
FECD,gene:proph:163834,0,1,0,2
FECD,gene:proph:163854,0,0,1,1
FECD,gene:proph:163909,0,1,0,1
FECD,gene:proph:163920,0,1,0,1
FECD,gene:proph:169102,0,1,0,2
FECD,gene:proph:169111,0,0,1,1
FETB,gene:plasmid:155923,0,1,0,1
GADA,gene:plasmid:15838,0,1,0,1
GADA,gene:plasmid:15839,0,1,0,1
GADC,gene:plasmid:142103,0,1,1,1
GADC,gene:plasmid:25149,0,0,1,1
GLPF,gene:plasmid:84614,1,0,0,1
GLPF,gene:plasmid:84622,1,0,0,1
HNS,gene:plasmid:114202,0,0,1,1
HNS,gene:plasmid:121859,0,0,1,1
HNS,gene:plasmid:142103,0,0,1,3
HNS,gene:plasmid:142103,0,1,0,2
HNS,gene:plasmid:25369,0,0,1,1
HNS,gene:plasmid:88332,0,1,0,1
HNS,gene:plasmid:88333,0,1,0,1
KDEA,gene:plasmid:25448,0,1,0,1
KDPE,gene:plasmid:142103,0,0,1,1
KDPE,gene:proph:159032,0,0,1,1
KEXD,gene:plasmid:16025,0,1,0,1
KEXD,gene:plasmid:16033,0,1,0,1
KMRA,gene:plasmid:16025,0,1,0,1
KMRA,gene:plasmid:83736,0,1,0,1
KMRA,gene:plasmid:91930,0,1,0,1
KPC,gene:plasmid:150081,0,1,0,1
KPC,gene:plasmid:24949,0,1,0,1
KPC,gene:plasmid:24950,0,1,0,1
KPC,gene:plasmid:87451,0,0,1,1
KPC,gene:plasmid:91761,0,1,0,1
KPNE,gene:plasmid:16025,0,1,0,4
KPNE,gene:plasmid:16033,0,1,0,2
KPNE,gene:plasmid:83736,0,1,0,1
KPNF,gene:plasmid:16025,0,0,1,1
KPNF,gene:plasmid:83736,0,0,1,1
LEN,gene:plasmid:16025,0,1,0,1
LEN,gene:plasmid:83736,0,1,0,3
LEN,gene:plasmid:83871,0,1,0,1
LPDT,gene:plasmid:151223,0,0,1,1
LPDT,gene:plasmid:151224,0,0,1,1
LPDT,gene:plasmid:151225,0,0,1,1
MARR,gene:plasmid:24248,0,0,1,1
MARR,gene:plasmid:88444,0,0,1,1
MARR,gene:proph:159062,0,1,0,1
MCR,gene:plasmid:156066,0,1,0,1
MCR,gene:plasmid:156082,0,1,0,1
MCR,gene:plasmid:88326,0,1,0,1
MDTB,gene:plasmid:136996,0,1,0,1
MDTB,gene:plasmid:155923,0,1,0,1
MDTB,gene:plasmid:156042,0,1,0,1
MDTB,gene:plasmid:91930,0,1,0,1
MDTJ,gene:plasmid:24248,0,1,0,2
MDTM,gene:plasmid:142025,0,0,1,1
MDTM,gene:plasmid:148201,0,0,1,1
MDTM,gene:plasmid:151223,0,0,1,1
MDTM,gene:plasmid:151224,0,0,1,1
MDTM,gene:proph:169102,0,1,0,2
MERA,gene:plasmid:154098,0,1,0,1
MERD,gene:plasmid:127986,0,0,1,1
MERD,gene:plasmid:154098,0,0,1,1
MERR,gene:plasmid:123343,0,1,0,1
MERR,gene:plasmid:127986,0,0,1,1
MERR,gene:plasmid:15301,0,0,1,1
MERR,gene:plasmid:15302,0,0,1,1
MERR,gene:plasmid:156066,0,1,0,1
MERR,gene:plasmid:156082,0,1,0,1
MERR,gene:plasmid:156832,0,1,0,1
MERR,gene:proph:163920,0,1,0,1
MERR1,gene:plasmid:123367,0,0,1,1
MERR2,gene:plasmid:154417,0,1,0,1
MERR2,gene:plasmid:156131,0,1,0,1
MERR2,gene:plasmid:92142,0,1,0,1
MERT,gene:plasmid:127986,0,1,0,2
MERT,gene:plasmid:149101,0,1,0,1
MERT,gene:plasmid:24221,0,1,0,1
MGTA,gene:plasmid:114192,0,0,1,1
MGTA,gene:plasmid:114192,0,1,0,1
MGTA,gene:plasmid:114253,0,0,1,1
MGTA,gene:plasmid:117449,0,1,0,1
MGTA,gene:plasmid:117481,1,0,0,1
MGTA,gene:plasmid:119679,1,0,0,1
MGTA,gene:plasmid:121457,0,1,0,1
MGTA,gene:plasmid:121458,0,1,0,1
MGTA,gene:plasmid:121983,1,0,0,1
MGTA,gene:plasmid:123255,1,0,0,1
MGTA,gene:plasmid:123259,1,0,0,1
MGTA,gene:plasmid:123354,1,0,0,1
MGTA,gene:plasmid:123355,1,0,0,1
MGTA,gene:plasmid:123356,1,0,0,1
MGTA,gene:plasmid:123357,1,0,0,1
MGTA,gene:plasmid:123358,1,0,0,1
MGTA,gene:plasmid:123359,1,0,0,1
MGTA,gene:plasmid:123365,1,0,0,1
MGTA,gene:plasmid:123367,1,0,0,1
MGTA,gene:plasmid:123369,1,0,0,1
MGTA,gene:plasmid:123370,1,0,0,1
MGTA,gene:plasmid:139633,1,0,0,1
MGTA,gene:plasmid:142025,0,0,1,1
MGTA,gene:plasmid:148203,0,1,0,1
MGTA,gene:plasmid:15780,1,0,0,1
MGTA,gene:plasmid:15801,1,0,0,1
MGTA,gene:plasmid:16111,1,0,0,1
MGTA,gene:plasmid:25357,0,0,1,1
MGTA,gene:plasmid:25643,0,0,1,2
MGTA,gene:plasmid:25689,0,0,1,1
MGTA,gene:plasmid:84614,1,0,0,1
MGTA,gene:proph:163922,1,0,0,1
MNTH,gene:plasmid:84614,0,0,1,1
MNTH,gene:plasmid:84622,0,0,1,1
MNTH,gene:plasmid:88410,0,1,0,1
MNTP,gene:plasmid:123177,1,0,0,1
MNTP,gene:plasmid:142025,1,0,0,1
MNTP,gene:proph:163920,1,0,0,1
MODA,gene:plasmid:123177,0,0,1,1
MODA,gene:plasmid:24510,0,0,1,1
MODA,gene:proph:175234,0,0,1,2
MODA,gene:proph:175234,0,1,0,2
MODA,gene:proph:175234,0,1,1,1
MPHA,gene:plasmid:87422,0,1,0,2
MVRC,gene:proph:169102,0,0,1,1
NCRA,gene:plasmid:87451,0,0,1,1
NCRAN,gene:plasmid:146683,0,1,0,1
NCRAN,gene:plasmid:20023,0,1,0,1
NCRAN,gene:plasmid:24612,0,0,1,1
NCRAN,gene:plasmid:88453,0,0,1,1
NCRAN,gene:plasmid:88454,0,0,1,1
NFSA,gene:plasmid:25437,0,0,1,1
